	domain	phylum	class	order	family	genus	species
ASV_57	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_58	Bacteria	NA	NA	NA	NA	NA	NA
ASV_59	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_60	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_61	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	NA
ASV_62	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_63	NA	NA	NA	NA	NA	NA	NA
ASV_64	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum	NA
ASV_65	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	NA
ASV_66	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_67	NA	NA	NA	NA	NA	NA	NA
ASV_68	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA
ASV_69	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_70	NA	NA	NA	NA	NA	NA	NA
ASV_71	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta	NA
ASV_72	Bacteria	NA	NA	NA	NA	NA	NA
ASV_73	NA	NA	NA	NA	NA	NA	NA
ASV_74	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	NA	NA
ASV_75	NA	NA	NA	NA	NA	NA	NA
ASV_76	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	F1-37X2	NA
ASV_77	Bacteria	Desulfobacterota	Desulfuromonadia	NA	Geopsychrobacteraceae	Desulfuromusa	NA
ASV_78	Archaea	Halobacterota	ANME-1	ANME-1a	NA	NA	NA
ASV_79	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	NA
ASV_80	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_81	NA	NA	NA	NA	NA	NA	NA
ASV_82	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfonatronovibrionaceae	Desulfonatronovibrio	NA
ASV_83	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
ASV_84	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_85	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_86	NA	NA	NA	NA	NA	NA	NA
ASV_87	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_88	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
