	GB19-0250	GB19-0251	GB19-0252	GB19-0253	GB19-0254	MLW-0517-0-5	MLW-0517-10	MLW-0517-20	MLW-0517-25	MLW-0517-30	MLW-0518-00	MLW-0518-05	MLW-0518-10	MLW-0518-12	MLW-0518-17	MLW-0518-20	MLW-0518-25	MLW-0518-35	MLW-0519-05	MLW-0519-12	MLW-0519-15	MLW-0519-17	MLW-0519-25	MLW-0519-35	MLW-0521-05	MLW-0521-10	MLW-0521-14	MLW-0521-18	MLW-0521-22	MLW-0521-27	MLW-0521-35	MLW-0617-0-5m	MLW-0617-10m	MLW-0617-15m	MLW-0617-20m	MLW-0617-27m	MLW-0917-05-1	MLW-0917-05-2	MLW-0917-05-3	MLW-0917-10-1	MLW-0917-10-2	MLW-0917-10-3	MLW-0917-15-1	MLW-0917-15-2	MLW-0917-15-3	MLW-0917-20-1	MLW-0917-20-2	MLW-0917-20-3	MLW-0917-24-1	MLW-0917-24-2	MLW-0917-24-3	MLW-0917-5-1	MLW-0917-5-2	MLW-0917-5-3	MLW-0919-00	MLW-0919-10	MLW-0919-16	MLW-0919-17	MLW-0919-18	MLW-0919-20	MLW-0919-30	MLW-0920-05	MLW-0920-10	MLW-0920-15	MLW-0920-18	MLW-0920-20	MLW-0920-22	MLW-0920-25	MLW-0920-30	MLW-1018-00	MLW-1018-05	MLW-1018-12	MLW-1018-15	MLW-1018-17	MLW-1018-20	MLW-1018-30	MLW-1018-35	MLW-DNAexBlank-50cyc
ASV_51	22	8	12	17	56	740	300	151	246	171	18	9	21	23	9	11	23	10	20	3	4	5	9	4	5	1	1	1	0	3	0	156	37	0	14	7	20	26	21	16	20	10	14	6	15	7	21	9	8	5	9	2	0	8	20	15	3	0	3	9	4	0	0	1	0	4	0	0	0	13	5	4	26	20	10	7	12	0
ASV_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	171	60	85	70	0	41	0	0	0	0	113	71	53	82	58	59	0	0	60	61	52	0	55	50	154	108	143	134	0	0	0	0	0	0	0	49	109	168	155	31	31	50	40	0	0	0	0	0	0	0	0	0
ASV_53	0	0	0	14	17	450	64	101	103	90	0	0	7	7	0	3	3	0	75	4	3	0	0	0	11	20	14	34	52	98	50	711	27	8	17	11	17	20	16	8	14	13	6	5	0	2	4	7	6	8	9	9	16	16	10	8	0	0	0	0	0	45	48	14	1	0	0	0	0	42	14	19	3	0	1	0	0	0
ASV_54	142	71	89	93	6	57	121	56	108	119	0	10	11	0	10	25	24	20	44	39	25	47	34	42	5	0	5	0	0	0	0	17	13	7	12	13	49	46	18	40	38	27	25	21	11	21	21	23	13	12	15	67	52	72	20	54	48	26	26	70	9	17	14	6	3	4	3	8	0	23	12	7	42	30	26	16	28	0
ASV_55	5	10	13	57	159	361	105	37	52	51	0	0	0	6	0	0	1	4	25	0	2	0	0	0	203	124	58	32	33	61	30	331	27	4	5	9	51	13	78	8	0	3	2	4	4	1	4	3	0	2	0	6	8	20	57	8	0	0	0	0	0	68	50	3	5	0	0	0	0	22	10	22	0	0	0	0	0	0
ASV_56	96	16	53	0	4	0	0	16	17	26	0	0	0	1	55	43	56	65	0	16	4	16	69	51	2	0	0	0	0	0	0	0	0	0	3	0	58	43	40	55	105	56	51	39	54	75	94	77	72	73	70	0	0	0	0	8	67	47	30	64	25	0	22	43	51	13	9	16	13	0	1	0	52	38	50	48	85	0
ASV_57	6	52	24	151	170	333	81	98	123	187	6	16	6	3	17	3	6	2	146	67	24	28	12	1	90	102	22	10	6	9	8	88	0	0	2	7	9	6	11	0	0	1	7	2	3	5	1	4	0	0	3	11	5	23	18	13	25	11	6	7	2	43	16	17	6	0	2	0	2	22	21	14	2	2	1	0	0	0
ASV_58	195	56	98	0	0	0	0	10	17	18	0	0	0	0	99	60	34	95	0	17	0	30	119	103	0	0	0	2	0	0	0	0	0	4	0	0	7	4	15	0	10	0	9	15	8	27	27	35	25	13	26	0	0	0	0	13	71	69	43	126	37	6	47	88	90	16	27	32	41	7	0	0	57	77	39	49	63	0
ASV_59	207	49	174	0	2	0	0	15	18	23	0	0	0	2	22	56	38	83	4	12	15	40	139	107	0	0	0	0	0	1	0	0	0	0	0	5	11	14	7	28	31	23	5	12	12	4	6	11	10	12	9	2	1	0	0	13	78	57	55	127	31	4	16	37	54	9	19	13	24	5	1	1	93	86	53	38	107	0
ASV_60	15	6	4	2	0	108	86	185	219	310	2	0	0	0	15	12	22	10	6	7	14	11	20	23	0	18	36	3	10	21	3	7	47	10	32	68	25	26	21	16	10	23	35	40	42	51	48	53	43	43	44	8	4	5	3	2	7	12	8	15	11	8	34	25	19	2	0	5	0	6	6	7	12	16	9	9	13	0
